动作参数,台词
P1_B5_RTit_long_1,啊...用力揉...右边好敏感...你手指好烫...
P4_B5_RTit_long_1,嗯啊...你揉得我好舒服...右边乳头都硬了...
P5_B5_RTit_long_1,啊...你捏得我好舒服...右边...再用力一点...
P1_B1_B2_LTit_short_1,啊……你突然碰我这里……心跳好快……
P4_B1_B2_LTit_short_1,呀…你突然碰那里…让我心跳加快了…
P5_B1_B2_LTit_short_1,呀…你突然碰我的左胸…让我心跳加快了…
P1_B3_B4_LTit_short_1,啊…你突然碰我左边…心跳得好快…再多摸几下好吗？
P4_B3_B4_LTit_short_1,啊……你突然碰我这里……后面好深……
P5_B3_B4_LTit_short_1,啊！你突然碰那里…让我心跳更快了…
P1_B5_LTit_short_1,啊！轻一点...你这样突然碰我...我会更想要的...
P4_B5_LTit_short_1,啊！轻点…乳头好敏感…继续…
P5_B5_LTit_short_1,啊！轻一点...乳头好敏感...
P1_B1_B2_RTit_short_1,啊…你碰得人家右边好舒服…再轻一点好吗？
P4_B1_B2_RTit_short_1,呀…你突然碰我右边…让我心跳加快了…
P5_B1_B2_RTit_short_1,嗯…你碰到右边了…感觉有点痒呢…
P1_B3_B4_RTit_short_1,啊…右边好敏感…你摸得我心跳好快…
P4_B3_B4_RTit_short_1,啊…右边的乳头…被你轻轻一碰就硬了…别停…
P5_B3_B4_RTit_short_1,嗯…你这样突然碰我右边…会让我更兴奋的…
P1_B5_RTit_short_1,啊！右边…好敏感…你碰得我好舒服…
P4_B5_RTit_short_1,啊！右边…被你突然一碰…更敏感了…
P5_B5_RTit_short_1,呀啊！右边被碰到时特别敏感…你的手好烫…
P1_B1_B2_LButt_long_1,嗯…你的手好温暖…轻轻揉着我的左臀…感觉好舒服…
P4_B1_B2_LButt_long_1,嗯…你的手好温暖…这样轻轻揉着我的左臀…感觉好舒服…
P5_B1_B2_LButt_long_1,嗯……你的手好暖……轻轻揉着那里……感觉好舒服……
P1_B3_B4_LButt_long_1,嗯…你的手好温暖…这样揉我的臀让我心跳加速…继续摸那里…
P4_B3_B4_LButt_long_1,嗯...你抓得好用力...从后面这样摸我...让我感觉好舒服...
P5_B3_B4_LButt_long_1,啊...你手掌好烫...这样揉着...我下面越来越湿了...
P1_B5_LButt_long_1,啊…你抓得我好紧…左边屁股全都陷进你手里了…再用力点…
P4_B5_LButt_long_1,你摸得我好舒服...屁股都热起来了...
P5_B5_LButt_long_1,啊...你用力抓着我臀部...好深...要去了...
P1_B1_B2_RButt_long_1,嗯…你的手掌好暖…轻轻揉着我右边屁股…感觉好安心…
P4_B1_B2_RButt_long_1,你的手好温暖...轻轻揉着我的右臀...嗯...
P5_B1_B2_RButt_long_1,你双手扶着我的腰…好温暖…右边臀部被轻轻揉捏的感觉让我心跳加快了…
P1_B3_B4_RButt_long_1,嗯…你的手让我好热…这样揉着后面…我快受不了了…
P4_B3_B4_RButt_long_1,啊...你的手好烫...别停...继续揉我的右边...
P5_B3_B4_RButt_long_1,你抚摸的感觉...让我浑身发热...再用力一点...
P1_B5_RButt_long_1,啊…你揉得我右臀好舒服…再用力些…
P4_B5_RButt_long_1,你的手...握得我好烫...后面全都湿透了...
P5_B5_RButt_long_1,啊…你揉得我好热…后面好舒服…再用力一点…
P1_B1_B2_LButt_short_1,嗯...你突然拍我左臀...让我心跳加快了...
P4_B1_B2_LButt_short_1,啊…你拍得我左臀好麻…再用力一点好吗？
P5_B1_B2_LButt_short_1,呀…你突然拍那一下…让我心跳都加快了…
P1_B3_B4_LButt_short_1,嗯…轻拍的感觉真好…再多碰碰我的左臀嘛…
P4_B3_B4_LButt_short_1,啊！你的手...拍得人家臀部好敏感...后面感觉更湿了...
P5_B3_B4_LButt_short_1,啊！你的手…拍得我好兴奋…上面也要…
P1_B5_LButt_short_1,啊！你突然拍我屁股...好刺激...继续...
P4_B5_LButt_short_1,啊！你拍得好用力...后面好敏感...
P5_B5_LButt_short_1,呀！轻点拍...但这样...好刺激...
P1_B1_B2_RButt_short_1,呀…你突然拍我右臀…让我心跳加速了呢…
P4_B1_B2_RButt_short_1,呀…你突然拍我右边屁股…让我心跳加速了呢…
P5_B1_B2_RButt_short_1,呀...你轻轻拍我右臀时...我心跳突然加快了...
P1_B3_B4_RButt_short_1,啊...你突然拍那里...让我心跳好快...可以继续吗？
P4_B3_B4_RButt_short_1,啊！...突然拍我屁股...后面好敏感...
P5_B3_B4_RButt_short_1,啊…你突然拍那里…让我差点坐不稳了呢…
P1_B5_RButt_short_1,呀！突然拍人家屁股...好害羞...但感觉好刺激...
P4_B5_RButt_short_1,啊！轻点拍…后面好敏感…继续用力…
P5_B5_RButt_short_1,啊！你突然拍那里...让我下面更湿了...
